8,base,warm,warm+frac,frac,heur,warm+heur,warm+frac+heur,frac+heur
0,13.204016,15.373887,10.23166,17.31789,14.570086,10.131761,10.700545,9.777806
1,21.910204,11.421751,6.433374,10.227846,9.677389,12.25643,3.386048,7.387892
2,44.534633,25.241656,19.655897,25.304601,8.907692,9.023413,5.293219,13.802455
3,12.851993,23.118078,8.675646,11.919818,13.225225,14.598907,3.093672,3.260577
4,8.830441,12.605444,5.21691,4.633478,6.046736,6.47727,3.580473,2.990272
5,20.990679,17.472437,12.631334,15.746786,9.540561,11.362053,4.364325,4.564174
6,13.454098,15.2496,8.982026,10.615953,11.069117,9.933586,6.170958,8.219385
7,14.952378,15.312275,6.972944,7.395543,11.005684,12.438856,4.533965,5.67649
8,12.92454,9.884079,5.207942,7.402287,7.448928,9.198054,3.144507,2.547943
9,46.065273,29.910371,29.329102,27.847124,16.317837,14.882812,14.988631,14.035239
10,14.57823,10.761338,5.554209,9.5325,11.58802,7.273024,4.11427,4.349705
11,34.997579,17.002563,12.467396,25.495999,14.259711,12.058814,5.457699,6.849115
12,16.785449,14.797366,12.996093,20.834961,13.223805,7.918427,3.719178,6.323077
13,24.550917,25.202534,16.424881,22.026359,12.740045,11.501445,8.995371,9.556199
14,18.42252,21.306924,22.052985,20.859288,11.899535,15.17604,10.729512,11.676512
15,11.224739,16.557619,5.840286,7.3698,12.475435,10.555352,5.191343,4.167911
16,14.42776,13.71917,16.12853,31.075678,14.290403,9.879899,7.066071,6.833413
17,27.076498,33.151537,16.346425,35.296994,26.98943,11.889193,8.836974,16.398401
18,4.885933,9.791952,5.912701,6.40186,4.758794,8.677345,3.831239,2.379101
19,23.332867,30.446792,36.186883,22.362766,14.944994,18.708981,11.977522,14.508006
