4,greedy+2-opt,tabu_f(2.2),tabu_s(10;100),vns(2;4)
0,94063.0,94872.0,94384.0,95165.0
1,93489.0,93435.0,93414.0,94310.0
2,94417.0,94149.0,93766.0,94778.0
3,93469.0,94013.0,93896.0,94854.0
4,92614.0,93238.0,92372.0,93354.0
5,93685.0,94173.0,93932.0,94787.0
6,94358.0,94063.0,94335.0,94762.0
7,93659.0,94301.0,94305.0,95081.0
8,93779.0,94260.0,94242.0,94523.0
9,93065.0,92404.0,92803.0,92882.0
10,92255.0,91695.0,91825.0,92290.0
11,94368.0,94719.0,94121.0,94634.0
12,94085.0,94349.0,95014.0,95065.0
13,94078.0,94427.0,93383.0,93672.0
14,93528.0,93083.0,92728.0,93784.0
15,92095.0,91865.0,91521.0,92342.0
16,94135.0,94203.0,94560.0,95001.0
17,94401.0,94407.0,94339.0,94489.0
18,93671.0,93183.0,92677.0,94149.0
19,93926.0,94457.0,94342.0,94527.0
