4,localb(10),diving(0.4),diving(0.3),tabu_s(10;100)
0,76335.0,75419.0,76073.0,77021.0
1,75089.0,75442.0,75282.0,77095.0
2,75085.0,75239.0,74674.0,76107.0
3,74678.0,75272.0,75374.0,76826.0
4,73871.0,73646.0,74271.0,75437.0
5,76935.0,76081.0,78345.0,77792.0
6,76101.0,75720.0,77207.0,77362.0
7,74997.0,75403.0,74783.0,76948.0
8,74834.0,74361.0,75290.0,76816.0
9,75070.0,74618.0,74811.0,76703.0
10,73810.0,73280.0,73170.0,75899.0
11,76243.0,76086.0,75548.0,77985.0
12,74716.0,74532.0,74882.0,75680.0
13,75164.0,74924.0,74524.0,76531.0
14,74802.0,74763.0,74220.0,76125.0
15,73613.0,73189.0,72902.0,74796.0
16,75878.0,75961.0,75745.0,76471.0
17,76330.0,75041.0,76024.0,77683.0
18,74786.0,75111.0,74551.0,77258.0
19,75480.0,76115.0,75240.0,76798.0
