8,(10;200),(20;200),(10;100),(20;100),(10;50),(20;50),(10;25),(20;25)
0,94295.0,94756.0,94384.0,94931.0,94690.0,94552.0,94655.0,94984.0
1,93654.0,94021.0,93414.0,93945.0,93842.0,94025.0,94029.0,94092.0
2,94391.0,95190.0,93766.0,95012.0,94785.0,94922.0,94877.0,95424.0
3,94256.0,94565.0,93896.0,94565.0,94712.0,94639.0,94575.0,94873.0
4,92981.0,93662.0,92372.0,93608.0,93692.0,93723.0,93473.0,93664.0
5,93945.0,94353.0,93932.0,94452.0,94190.0,94335.0,94503.0,94493.0
6,94338.0,94401.0,94335.0,94550.0,94368.0,94515.0,94311.0,94609.0
7,94512.0,95061.0,94305.0,95030.0,94961.0,95064.0,95028.0,95183.0
8,94238.0,94879.0,94242.0,94833.0,94683.0,94890.0,94772.0,94880.0
9,92780.0,93049.0,92803.0,93170.0,92987.0,93132.0,93118.0,93163.0
10,91680.0,92119.0,91825.0,92281.0,92027.0,92128.0,92165.0,92373.0
11,93912.0,94244.0,94121.0,94251.0,94173.0,94170.0,94246.0,94480.0
12,94640.0,95104.0,95014.0,95094.0,95079.0,95141.0,95179.0,95301.0
13,93521.0,94148.0,93383.0,94147.0,94207.0,94191.0,94177.0,94155.0
14,92911.0,93471.0,92728.0,93379.0,93339.0,93423.0,93365.0,93493.0
15,91691.0,92128.0,91521.0,91930.0,91719.0,91781.0,92054.0,92384.0
16,94219.0,94804.0,94560.0,94799.0,94758.0,94800.0,94810.0,94878.0
17,94413.0,94782.0,94339.0,94617.0,94622.0,94783.0,94607.0,94804.0
18,93050.0,93460.0,92677.0,93435.0,93371.0,93478.0,93507.0,93720.0
19,94226.0,95119.0,94342.0,95075.0,95048.0,95190.0,95166.0,95117.0
