7,1-8,1-4,1-2,2-4,4-8,4-6,6-8
0,77500.0,76598.0,77819.0,77885.0,77571.0,77285.0,77471.0
1,77288.0,77500.0,77359.0,77365.0,77658.0,77266.0,76937.0
2,76865.0,76733.0,76837.0,76970.0,77001.0,77207.0,77145.0
3,77210.0,77521.0,76985.0,76924.0,76920.0,76962.0,77626.0
4,76210.0,75629.0,75721.0,76035.0,76195.0,75649.0,76183.0
5,78565.0,78565.0,78434.0,78424.0,78639.0,78313.0,78457.0
6,77173.0,77586.0,77243.0,77394.0,78033.0,76963.0,78021.0
7,77673.0,76544.0,77087.0,77445.0,77221.0,77498.0,77239.0
8,77085.0,77062.0,77292.0,76776.0,77486.0,76719.0,77253.0
9,76652.0,77185.0,76588.0,76915.0,76964.0,77067.0,77118.0
